Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
248,1764562634.4990954,rsa_handshake,0.000245744|0.000035877,0.00,0.00,43696128,43696128,512
249,1764562634.5526757,rsa_handshake,0.000233431|0.000066513,0.00,0.00,43696128,43696128,512
250,1764562634.589795,rsa_handshake,0.000223142|0.000032950,0.00,0.00,43696128,43696128,512
251,1764562634.6148825,rsa_handshake,0.000216971|0.000033331,0.00,0.00,43696128,43696128,512
252,1764562634.6312914,rsa_handshake,0.000229915|0.000035556,0.00,0.00,43696128,43696128,512
253,1764562634.6622083,rsa_handshake,0.000240705|0.000038171,0.00,0.00,43696128,43696128,512
254,1764562634.7047963,rsa_handshake,0.000221650|0.000033892,0.00,0.00,43696128,43696128,512
255,1764562634.718917,rsa_handshake,0.000228693|0.000040835,0.00,0.00,43696128,43696128,512
256,1764562634.7883563,rsa_handshake,0.000252997|0.000036787,0.00,0.00,43696128,43696128,512
257,1764562634.8139508,rsa_handshake,0.000430465|0.000032090,0.00,0.00,43696128,43696128,512
258,1764562634.8494117,rsa_handshake,0.000239112|0.000036167,0.00,0.00,43696128,43696128,512
259,1764562634.8620577,rsa_handshake,0.000239562|0.000034323,0.00,0.00,43696128,43696128,512
260,1764562634.8777096,rsa_handshake,0.000220508|0.000033091,0.00,0.00,43696128,43696128,512
261,1764562634.9368577,rsa_handshake,0.000268627|0.000041897,0.00,0.00,43696128,43696128,512
262,1764562634.967595,rsa_handshake,0.000226488|0.000035857,0.00,0.00,43696128,43696128,512
263,1764562635.0266929,rsa_handshake,0.000415758|0.000076922,0.00,0.00,43696128,43696128,512
264,1764562635.057865,rsa_handshake,0.000494674|0.000033442,0.00,0.00,43696128,43696128,512
265,1764562635.0743089,rsa_handshake,0.000522165|0.000078686,0.00,0.00,43696128,43696128,512
266,1764562635.0997314,rsa_handshake,0.000533776|0.000041346,0.00,0.00,43696128,43696128,512
267,1764562635.111879,rsa_handshake,0.000299012|0.000036557,0.00,0.00,43696128,43696128,512
268,1764562635.1335292,rsa_handshake,0.000307959|0.000034464,0.00,0.00,43696128,43696128,512
269,1764562635.172632,rsa_handshake,0.000534257|0.000080519,0.00,0.00,43696128,43696128,512
270,1764562635.2158864,rsa_handshake,0.000419966|0.000064469,0.00,0.00,43696128,43696128,512
271,1764562635.2343495,rsa_handshake,0.000242768|0.000038752,0.00,0.00,43696128,43696128,512
